dark /display/metric-badge                  ready=3751ms nodes=  71 viol=39
dark /display/metric-pill                   ready=3716ms nodes=  52 viol=30
dark /display/status-dot                    ready=3731ms nodes=  67 viol=44
dark /display/pulse                         ready=3718ms nodes=  31 viol=17
dark /display/stacked-icons                 ready=3712ms nodes=  29 viol=16
dark /display/dark-mode-toggle              ready=3711ms nodes=  29 viol=16
dark /containers/dialog                     ready=3717ms nodes=  54 viol=11
dark /containers/sheet                      ready=3714ms nodes=  46 viol=11
dark /containers/drawer                     ready=3669ms nodes=  44 viol=8
dark /containers/popover                    ready=3719ms nodes=  46 viol=8
dark /containers/dropdown-menu              ready=3673ms nodes=  32 viol=5
dark /containers/context-menu               ready=3674ms nodes=  38 viol=7
dark /containers/hover-card                 ready=3711ms nodes=  48 viol=7
dark /containers/tooltip                    ready=3673ms nodes=  64 viol=8
dark /containers/accordion                  ready=3721ms nodes=  43 viol=9
dark /containers/collapsible                ready=3713ms nodes=  49 viol=13
dark /containers/hover-popover              ready=3715ms nodes=  33 viol=12
dark /containers/expandable-container       ready=3723ms nodes=  24 viol=11
dark /containers/command                    ready=3717ms nodes=  57 viol=21
dark /containers/spa-view                   ready=3726ms nodes=  45 viol=8

WROTE /Users/mkbabb/Programming/glass-ui/docs/tranches/BG/audit/visual/census/census-rd2.json
