dark /data/timeline                         ready=3765ms nodes=  42 viol=23
dark /data/timeline-segmented               ready=3719ms nodes=  29 viol=12
dark /data/timeline-continuous              ready=3726ms nodes=  32 viol=13
dark /data/search                           ready=3713ms nodes=  58 viol=16
dark /data/virtual-section                  ready=3712ms nodes=  75 viol=14
dark /data/scrolling-text                   ready=3715ms nodes=  44 viol=18
dark /data/metric-cell                      ready=3717ms nodes=  46 viol=18
dark /data/metric-stack                     ready=3718ms nodes=  32 viol=16
dark /feedback/alert                        ready=3663ms nodes=  52 viol=9
dark /feedback/toast                        ready=3709ms nodes=  26 viol=10
dark /feedback/toaster                      ready=3719ms nodes=  20 viol=8
dark /feedback/notification                 ready=3668ms nodes=  30 viol=12
dark /feedback/progress                     ready=3716ms nodes=  31 viol=19
dark /feedback/skeleton                     ready=3713ms nodes=  18 viol=8
dark /feedback/confirm-dialog               ready=3717ms nodes=  25 viol=10
dark /feedback/completion-seal              ready=3715ms nodes=  80 viol=14
dark /motion/springs                        ready=3717ms nodes=  29 viol=11
dark /motion/curve-gallery                  ready=3715ms nodes=  40 viol=8
dark /motion/scroll-vt                      ready=3714ms nodes=  30 viol=18
dark /motion/scroll-system                  ready=3666ms nodes=  64 viol=16

WROTE /Users/mkbabb/Programming/glass-ui/docs/tranches/BG/audit/visual/census/census-rd4.json
