dark /motion/scroll-choreography            ready=3762ms nodes=  52 viol=15
dark /motion/countup                        ready=3731ms nodes=  27 viol=11
dark /motion/reveal                         ready=3721ms nodes=  85 viol=11
dark /motion/deck                           ready=3714ms nodes=  66 viol=11
dark /motion/typewriter                     ready=3716ms nodes=  55 viol=12
dark /motion/handmark                       ready=3711ms nodes=  34 viol=7
dark /motion/animated-digit                 ready=3716ms nodes=  23 viol=10
dark /motion/split-chars                    ready=3717ms nodes=  53 viol=12
dark /compositions/hero                     ready=3712ms nodes=  20 viol=4
dark /compositions/math-paper               ready=3720ms nodes=  28 viol=7
dark /compositions/auth-shell               ready=3826ms nodes=  28 viol=10
dark /compositions/settings                 ready=3718ms nodes=  30 viol=6
dark /compositions/empty-states             ready=3716ms nodes=  23 viol=3
dark /compositions/drawer-live-behind       ready=3723ms nodes=  29 viol=12
dark /compositions/configurator             ready=3675ms nodes=  30 viol=12
dark /compositions/instrument-chassis       ready=3709ms nodes=  36 viol=24
dark /compositions/form-validation          ready=3675ms nodes=  79 viol=15
dark /compositions/gate-pattern             ready=3719ms nodes=  19 viol=6
dark /compositions/labeled-field            ready=3728ms nodes=  26 viol=14
dark /compositions/icon-tooltip             ready=3721ms nodes=  18 viol=7

WROTE /Users/mkbabb/Programming/glass-ui/docs/tranches/BG/audit/visual/census/census-rd5.json
